Id,smiles,T_exp
74,b12c3cc(cc4c3n(c3c2c(cc(c3)c2cccc(c2)F)n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.400031223
75,b12c3cc(cc4c3n(c3c2c(cc(c3)c2ccc(cc2)F)n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.390031093
76,c12c3c(ccc1n1c4c(c5c1ccc(c5)C(C)(C)C)cc(cc4)C(C)(C)C)n1c4ccc(cc4c4c1c(b3c1c3n2c2c(c3cc(c1)C(C)(C)C)cc(cc2)C(C)(C)C)cc(c4)C(C)(C)C)C(C)(C)C,2.420031483
77,c12c3c(c(cc1n1c4c(c5c1ccc(c5)C(C)(C)C)cc(cc4)C(C)(C)C)n1c4ccc(cc4c4c1ccc(c4)C(C)(C)C)C(C)(C)C)n1c4ccc(cc4c4c1c(b3c1c3n2c2c(c3cc(c1)C(C)(C)C)cc(cc2)C(C)(C)C)cc(c4)C(C)(C)C)C(C)(C)C,2.270029531
78,c12c3c(c4c(c1)c1c(c(n4)CCCC)cccc1)n1c4ccc(cc4c4c1c(b3c1c3n2c2c(c3cc(c1)C(C)(C)C)cc(cc2)C(C)(C)C)cc(c4)C(C)(C)C)C(C)(C)C,2.190028491
79,b12c3cccc4c3n(c3c2c(ccc3)n2c3c1cccc3c1c2cccc1)c1c4cccc1,2.470032133
80,b12c3cccc4c3n(c3c2c(ccc3)n2c3c1cccc3c1c2ccnc1)c1c4cncc1,2.580033564
81,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)n1c2ccccc2c2c1cccc2)n1c2c(cccc2)c2c1cccc2)c1c4cc(cc1)n1c2ccccc2c2c1cccc2)n1c2c(cccc2)c2c1cccc2,2.330030312
82,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)N(c1ccc(cc1)C)c1ccc(cc1)C)N(c1ccc(cc1)C)c1ccc(cc1)C)c1c4cc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)N(c1ccc(cc1)C)c1ccc(cc1)C,2.030026409
83,b12c3c(cccc3n3-c4ccccc4C(c4c3c2ccc4)(C)C)n2-c3ccccc3C(c3c2c1ccc3)(C)C,2.400031223
84,b12c3cc(ccc3n(c3c2c(cc(c3)N(c2ccc(cc2)C(C)(C)C)c2ccc(cc2)C(C)(C)C)n(c2c1cc(cc2)C(C)(C)C)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)C(C)(C)C  ,2.570033434
85,b12c3cc(ccc3n(c3c2c(cc(c3)N(c2ccc(cc2)C)c2ccc(cc2)C)n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)c1ccc(cc1)C)C,2.470032133
86,b12c3cc(cc4c3n(c3c2c(cc(c3)N(c2ccc(cc2)C)c2ccc(cc2)C)n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.450031873
87,b12c3ccccc3n(c3c2c(cc(c3)N(c2ccccc2)c2ccccc2)n2c3c1cccc3c1c2cccc1)c1ccccc1,2.510032654
88,b12c3cc(ccc3n(c3c2c(cc(c3)N(c2ccc(cc2)C(C)(C)C)c2ccc(cc2)C(C)(C)C)n2c3c1cccc3c1c2cccc1)c1ccc(cc1)C(C)(C)C)C(C)(C)C,2.490032393
89,b12c3cc(ccc3n(c3c2c(cc(c3)N(c2ccc(cc2)C)c2ccc(cc2)C)n(c2c1cc(cc2)C)c1ccc(cc1)C)c1ccc(cc1)C)C,2.530032914
90,b12c3ccccc3n(c3c2c(cc(c3)N(c2ccccc2)c2ccccc2)n(c2c1cccc2)c1ccccc1)c1ccccc1,2.710035256
91,b12c3cc(ccc3n(c3c2c(cc(c3)N(c2ccccc2)c2ccccc2)n(c2c1cc(cc2)C(C)(C)C)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)C(C)(C)C,2.680034865
92,b12c3c(cccc3)n(c3c1c(ccc3N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)n1-c3c(cccc3)C(c3c1c2ccc3)(C)C)c1ccc(cc1)C(C)(C)C,2.530032914
93,b12c3cc(ccc3n(c3c2c(cc(c3)N2c3ccccc3C(c3c2cccc3)(c2ccccc2)c2ccccc2)n(c2c1cc(cc2)C(C)(C)C)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)C(C)(C)C,2.560033304
94,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)n1c2ccccc2c2c1cccc2)n1c2ccccc2c2c1cccc2)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.390031093
95,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.190028491
96,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1)c1c4cc(cc1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,2.14002784
97,c1ccc(cc1)N(c1cc2n(c3ccccc3)c3ccccc3b3c2c(c1)n1c2ccccc2c2c1c3ccc2)c1ccccc1,2.590033694
98,c1ccc(cc1)N(c1cc2n(c3ccccc3)c3ccccc3b3c2c(c1)n1c2ccccc2c2c1c3ccc2N(c1ccccc1)c1ccccc1)c1ccccc1,2.540033044
99,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1cnc(nc1)c1ccccc1)C(C)(C)C)(C)C,2.320030182
100,Cc1cc(C)c(c(c1)C)c1cc2c3c(c1)n1c4ccc(cc4c4c1c(b3c1c3n2c2ccc(cc2c3cc(c1)C(C)(C)C)C(C)(C)C)cc(c4)C(C)(C)C)C(C)(C)C,2.500032524
101,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1cc(cc(c1)c1ccccc1)c1ccccc1)C(C)(C)C)(C)C,2.500032524
102,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(C)(C)C)(C)C,2.470032133
103,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1cccc(c1)n1c2ccccc2c2c1cccc2)C(C)(C)C)(C)C,2.420031483
104,b12c3cc(ccc3n(c3c2c(cc(c3)c2cc(cc(c2)C(C)(C)C)C(C)(C)C)n(c2c1cc(cc2)C(C)(C)C)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)C(C)(C)C,2.580033564
105,Cc1ccccc1N(c1cc2c3c(c1)n(c1c(C)cccc1C)c1c(b3c3c(n2c2c(C)cccc2C)cc(cc3)c2ccccc2)ccc(c1)c1ccccc1)c1cccc(c1)c1ccccc1,2.560033304
106,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc2c(c4c1b3c1cc(cc3c1n4c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1c(n2c2ccccc2)cccc1)C(C)(C)C)(C)C,2.390031093
107,Cc1cc(C)c(c(c1)C)n1c2cc3n(c4ccccc4)c4c(c3cc2b2c3c1cc(cc3n(c1c2cc2c3ccccc3n(c2c1)c1ccccc1)c1c(C)cc(cc1C)C)N(c1ccccc1)c1ccccc1)cccc4,2.590033694
108,CC(c1cc2b3c4c5c(cc6c4n(c4c3c(n3c2c(c1)c1cc(ccc31)C(C)(C)C)ccc4)c1c6cccc1)n(c1c5cccc1)c1ccccc1)(C)C,2.1600281
109,CC(c1cc2b3c4c5c(cc6c4n(c4c3c(n3c2c(c1)c1cc(ccc31)C(C)(C)C)ccc4)c1c6cccc1)n(c1c5cccc1)c1cccc(c1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)(C)C,2.200028621
110,CC(c1cc2c3cc(ccc3n3c2c(c1)b1c2c3cc3c(c2n2c4c1cc(cc4c1c2ccc(c1)C(C)(C)C)C(C)(C)C)c1ccccc1c1c3cccc1)C(C)(C)C)(C)C,2.330030312
111,Cc1cc(C)c(c(c1)C)b1c2ccc(cc2n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,2.600033825
112,Cc1cc(C)c(c(c1)C)b1c2cc(ccc2n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,2.520032784
113,CC(c1cc2b3c4c(cccc4n4c2c(c1)c1cc(ccc41)C(C)(C)C)n1-c2ccccc2[C@]2(c4c1c3ccc4-c1c2cccc1)C)(C)C,2.450031873
114,b12c3c(ccc(c3)C)n(c3c2c2c4c(c3)n(c3ccc(cc3)C)c3ccc(cc3b4c3c(n2c2c1cc(cc2)C)ccc(c3)C)C)c1ccc(cc1)C       ,2.54
115,b12c3ccccc3oc3c2c(cc(c3)C(C)(C)C)n(c2c1cccc2)c1ccccc1   ,2.77
116,b12c3cccc4c3n(-c3ccccc3S4)c3c2c(ccc3)n2-c3c(cccc3)Sc3c2c1ccc3   ,2.44
117,b12c3cccc4c3n(c3c1c(ccc3)sc1c2cccc1)c1c4cccc1   ,2.52
118,n12c3c(cccc3)c(=O)c3c2c(ccc3)c(=O)c2c1ccc(c2)c1ccccc1   ,2.42
119,n12c3c4cccc3Sc3c1c(ccc3)c(=O)c1c2c(ccc1)c4=O    ,2.07
