Id,smiles,T_exp,T_td,error
36,C(=O)(C(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1 ,3.178636785,3.0376,0.141036785
35,c1cc2c3c(c1)ccc1c3c(cc2)ccc1,2.111863731,2.1331,-0.021236269
96,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1)c1c4cc(cc1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,2.14002784,2.041,0.09902784
8,c1cc2c(cc1)ccc(c2)C(=O)C,2.571530169,2.5927,-0.021169831
44,c12c(cc3c(c1)c1c(cc3)cccc1)c1c(cccc1)cc2,2.2600281,2.2532,0.0068281
71,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.530032914,2.4436,0.086432914
83,b12c3c(cccc3n3-c4ccccc4C(c4c3c2ccc4)(C)C)n2-c3ccccc3C(c3c2c1ccc3)(C)C,2.400031223,2.4667,-0.066668777
116,b12c3cccc4c3n(-c3ccccc3S4)c3c2c(ccc3)n2-c3c(cccc3)Sc3c2c1ccc3   ,2.44,2.3816,0.0584
131,n12c3c(cc(cc3b(c3c1ccc(c3)C)c1c(cc(cc1C(C)C)C(C)C)C(C)C)C)b(c1c2ccc(c1)C)c1c(cc(cc1C(C)C)C(C)C)C(C)C    ,2.41,2.4402,-0.0302
9,c1c(cccc1)C=O,3.117926124,3.0388,0.079126124
14,c1cc(ccc1N(C)C)C(=O)c1ccc(cc1)N(C)C,2.645250258,2.761,-0.115749742
101,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1cc(cc(c1)c1ccccc1)c1ccccc1)C(C)(C)C)(C)C,2.500032524,2.422,0.078032524
4,c1(=O)cc(oc2c1ccc1c2cccc1)c1ccccc1,2.697287968,2.7191,-0.021812032
18,c1(ccc(cc1)C(=O)C)C(=O)C,2.935794139,2.92,0.015794139
39,c1cc2c(cc1)c1c(c3c2cccc3)cccc1,3.07022489,2.8545,0.21572489
73,b12c3cc(cc4c3n(c3c2c(cc(c3)c2c(cccc2)F)n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.350030572,2.3586,-0.008569428
113,CC(c1cc2b3c4c(cccc4n4c2c(c1)c1cc(ccc41)C(C)(C)C)n1-c2ccccc2[C@]2(c4c1c3ccc4-c1c2cccc1)C)(C)C,2.450031873,2.3908,0.059231873
7,c1cc2c(cc1)C(=O)c1c(cccc1)C2=O,2.70596092,2.4192,0.28676092
94,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)n1c2ccccc2c2c1cccc2)n1c2ccccc2c2c1cccc2)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.390031093,2.3636,0.026431093
124,c1cc2c(cc1)cc1c(c2)cc(cc1)N     ,1.86,1.7809,0.0791
115,b12c3ccccc3oc3c2c(cc(c3)C(C)(C)C)n(c2c1cccc2)c1ccccc1   ,2.77,2.7052,0.0648
55,c12cc3c(cc1cccc2)cc1c(c3)cc2c(c1)cccc2,0.860009887,0.6116,0.248409887
51,c1cc2c(cc1)cc1c(c2)ccc2c1cccc2,2.050025585,2.0694,-0.019374415
97,c1ccc(cc1)N(c1cc2n(c3ccccc3)c3ccccc3b3c2c(c1)n1c2ccccc2c2c1c3ccc2)c1ccccc1,2.590033694,2.5901,-6.6306E-05
47,c12cc3c4c(c1cccc2)ccc1c4c(cc3)ccc1,1.820023244,1.8039,0.016123244
98,c1ccc(cc1)N(c1cc2n(c3ccccc3)c3ccccc3b3c2c(c1)n1c2ccccc2c2c1c3ccc2N(c1ccccc1)c1ccccc1)c1ccccc1,2.540033044,2.4529,0.087133044
62,c12c(c3c(c(c1cccc2)c1ccccc1)c(c1c(c3c2ccccc2)cccc1)c1ccccc1)c1ccccc1,1.140016132,1.0173,0.122716132
136,b12c3cccc4c3n(-c3ccccc3S4)c3c2c(ccc3)n(c2c1cccc2)c1ccccc1 ,2.51,2.4805,0.0295
80,b12c3cccc4c3n(c3c2c(ccc3)n2c3c1cccc3c1c2ccnc1)c1c4cncc1,2.580033564,2.586,-0.005966436
114,b12c3c(ccc(c3)C)n(c3c2c2c4c(c3)n(c3ccc(cc3)C)c3ccc(cc3b4c3c(n2c2c1cc(cc2)C)ccc(c3)C)C)c1ccc(cc1)C       ,2.54,2.6406,-0.1006
